MaxTemp,MinTemp,Humidity,Radiation,WindSpeed,Rainfall
37.13,28.87,57.92,28.64,8.5,30.26
30.02,23.02,91.3,57.27,21.64,28.82
34.63,23.87,91.7,56.22,11.75,29.41
32.08,22.55,93.3,57.52,13.29,28.81
28.77,21.73,93.9,64.2,34.95,28.59
33.11,23.38,90.1,56.41,20.19,28.67
35.03,27.31,92.3,33.21,10.36,28.94
28.64,24.22,59.81,40.91,25.12,24.41
24.17,19.51,83.3,63.45,38.79,20.08
26.14,19.91,81.5,56.48,32.64,29.42
30.87,22.82,87.2,48.54,20.39,29.05
33.45,25.77,67.25,33.6,14.15,29.61
35.5,27.46,56.73,27.03,12.82,29.56
29.1,24.59,57.58,30.37,16.22,29.93
28.91,22.35,86.9,41.25,15.29,29.99
25.96,20.59,88.9,59.96,28.52,29.66
26.55,20.5,79.4,51.33,26.99,28.44
29.24,21.63,73.2,34.64,8.24,22.84
33.12,24.79,44.29,24.78,10.57,29.9
36.56,27.81,48.27,20.85,8.76,30.15
37.66,29.34,38.08,16.85,7.77,29.34
35.96,28.81,44.58,19.56,9.3,21.8
37,27.69,56.89,29.41,12.55,26.19
38.78,29.24,64.56,30.46,5709,27.65
33.57,27.5,33.28,21.39,11.89,29.92
29.5,23.65,78.8,38.78,26.22,29.28
28.85,22.74,80.4,52.39,30.64,29.62
30.23,23.63,67.84,38.11,19.07,30.13
31.55,24.05,72.2,40.86,17.21,29.12
32.4,25.14,73.8,33.83,17.8,29.81
37.89,26.02,60.01,33.49,12.03,28.97
34.97,27.74,83.8,36.87,15.14,28.79
32.87,26.81,54.06,24.03,8.77,30.43
30.87,24.51,50.6,32.98,18.34,30.07
29.7,23.76,56.99,36.89,20.93,29.57
32.27,24.21,82.6,43.71,19.73,28.87
32.53,24.68,87,44.86,15.68,28.85
31.14,24.75,83.5,48.15,24.71,28.99
33.65,26.47,64.34,38.73,20.06,28.29
34.96,26.69,90.2,43.65,18.92,27.31
33.84,25.62,91.2,55.4,30.21,28.04
36.22,28.63,76,29.2,8.57,29.9
30.89,26.46,70.7,35.6,25.11,24.15
31.02,24.58,88.5,57.6,26.11,27.19
33.07,25.23,92.9,48.71,14.55,29.28
36.8,28.35,62.98,23.71,8.37,29.67
30.29,24.2,33.82,21.01,10.3,29.68
28.84,22.08,70.4,35.57,19.67,29.04
28.44,22.43,85.1,51.16,18.28,25.13
31.03,24.23,86.1,53.75,19.93,23.47
35.56,25.89,81.5,56.15,26.23,19.31
33.17,25.01,92.9,60.89,31.14,27.33
33.18,25.85,94.5,49.14,19.33,27.71
32.92,25.44,74,48.06,20.32,27.8
34.97,25.4,84.1,48.8,13.01,28.41
31.15,23.33,93.7,65.33,35.29,23.95
29.91,23.64,91.6,68.33,36.41,22.67
30.06,26.09,78.8,46.54,23.94,12.14
35.04,30.67,28.58,21.28,14.88,24.81
36.42,29.16,67.65,31.5,19.93,23.6
38.07,28.77,70.7,37.01,9.63,25.93
34.43,27.68,58.4,35.55,17.86,27.11
31.34,25.2,85.7,58.21,30.96,26.29
30.22,24.55,90.5,67.05,43.91,25.82
32.52,25.52,87,58.06,35.27,26.38
35.03,26.92,71.7,40.99,20.79,26.65
38.06,28.49,87.6,37.81,8.7,27.19
34.63,26.44,89.5,51.7,19.85,26.6
28.9,23.75,88.6,72.6,52.16,22.7
27.46,23.3,86.9,69.17,44,15.6
29.42,23.46,90.6,64.46,34.68,21.77
31.28,23.94,93.6,62.9,27.3,23.18
33.33,25.81,91.6,54.24,24.78,25.22
35.76,27.15,83.1,52.57,17.2,23.18
33.13,25.9,86.6,52.7,17.87,23.7
32.27,25.05,88.2,56.99,15.54,23.81
32,24.24,81,43.45,14.75,22.03
34.44,25.5,72.8,43.04,16.35,24.38
34.7,26.38,83,47.37,14.21,24.94
32.59,25.25,88.2,58.8,26.91,24.72
34.89,26.76,93.2,56.6,24.39,23.82
34.89,26.76,82.1,53.13,18.33,17.91
35.3,27.39,72.3,40.65,16.67,23.36
33.13,27.22,59.59,30.01,15.41,17.5
32.41,25.4,87.6,54.33,17.41,22.07
31.14,24.57,92.6,66.78,32.55,22.8
32.52,24.75,91.8,67.18,36.06,22.5
35.1,25.7,92.9,46.33,9.63,24.16
31.47,25.42,58.62,39.97,24.65,22.92
30.29,24.07,85.9,51.1,25.66,21.71
29.1,22.98,90.2,66.56,33.69,22.23
27.66,22.69,87.6,71.1,46.54,20.44
28.97,22.89,86.3,61.37,27.84,22.02
32.53,24.61,84.9,48.9,14.75,21.93
29.96,23.24,90.5,66.16,42.12,20.82
29.42,23.05,94,70.9,39.35,18.32
27.4,21.74,93.3,70.7,46.06,15.72
28.24,21.53,86.3,60.57,27.31,22.18
31.87,23.21,82.6,47.23,19.27,22.17
31.08,23.18,89.8,52.27,20.47,21.34
